Student_Query,Target_Intent
how long for teacher to reply email,faculty_response_time
ഇമെയിൽ അയച്ചാൽ ടീച്ചർ എപ്പോൾ മറുപടി തരും?,faculty_response_time
How can I contact the office of the department head?,contact_department_head
how to meet hod,contact_department_head
HOD യെ എങ്ങനെ കാണാം?,contact_department_head
What are the responsibilities of a faculty advisory role?,faculty_advisory_role
what does academic advisor do,faculty_advisory_role
അഡ്വൈസറുടെ ചുമതലകൾ എന്തൊക്കെയാണ്?,faculty_advisory_role
Are faculty meetings scheduled with parents?,faculty_meetings_parents
pta meeting schedule,faculty_meetings_parents
PTA മീറ്റിംഗ് എപ്പോഴാണ്?,faculty_meetings_parents
What is the feedback system used for faculty evaluation?,faculty_evaluation_system
rate the teaching,faculty_evaluation_system
ടീച്ചർമാരെ എങ്ങനെ വിലയിരുത്താം?,faculty_evaluation_system
How do I request a recommendation letter from a faculty member?,request_recommendation_letter
how to get LOR from teacher,request_recommendation_letter
ടീച്ചറിൽ നിന്ന് റെക്കമെൻഡേഷൻ ലെറ്റർ എങ്ങനെ വാങ്ങാം?,request_recommendation_letter
Where can I find the academic rules and regulations handbook?,academic_handbook
where is the rulebook,academic_handbook
കോളേജ് നിയമങ്ങൾ എവിടെ വായിക്കാം?,academic_handbook
What is the promotion policy for the next semester?,promotion_policy_semester
rules to go to next semester,promotion_policy_semester
അടുത്ത സെമസ്റ്ററിലേക്ക് പോകാനുള്ള നിയമങ്ങൾ എന്താണ്?,promotion_policy_semester
Are students allowed to take a leave during the semester break?,semester_break_leave
holidays between semesters,semester_break_leave
സെമസ്റ്ററുകൾക്കിടയിൽ അവധിയുണ്ടോ?,semester_break_leave
What are the rules for the academic misconduct policy?,academic_misconduct_policy
punishment for misbehavior,academic_misconduct_policy
അച്ചടക്കലംഘനത്തിനുള്ള ശിക്ഷ എന്താണ്?,academic_misconduct_policy
How do I apply for the course withdrawal process?,course_withdrawal_process
how to drop a subject,course_withdrawal_process
ഒരു വിഷയം ഒഴിവാക്കാൻ എന്ത് ചെയ്യണം?,course_withdrawal_process
What are the details regarding academic probation criteria?,academic_probation_criteria
what is academic probation,academic_probation_criteria
അക്കാദമിക് പ്രൊബേഷൻ എന്നാൽ എന്താണ്?,academic_probation_criteria
Are students allowed re-admission under the policy?,readmission_policy
how to rejoin college,readmission_policy
കോളേജിൽ വീണ്ടും ചേരാൻ കഴിയുമോ?,readmission_policy
What are the rules regarding the credit transfer policy?,credit_transfer_policy
transfer credits from another college,credit_transfer_policy
മറ്റൊരു കോളേജിൽ നിന്ന് ക്രെഡിറ്റ് മാറ്റാമോ?,credit_transfer_policy
How do I process an appeal for academic decisions?,appeal_academic_decision
appeal against poor grades,appeal_academic_decision
ഗ്രേഡിനെതിരെ അപ്പീൽ നൽകാൻ എന്ത് ചെയ്യണം?,appeal_academic_decision
What are the guidelines for the academic integrity policy?,academic_integrity_policy
rules on cheating and plagarism,academic_integrity_policy
കോപ്പിയടിക്കുന്നതിനെതിരെയുള്ള നിയമങ്ങൾ?,academic_integrity_policy
What is the deadline date for fee payment?,fee_payment_deadline
last date to pay fees,fee_payment_deadline
ഫീസ് അടക്കേണ്ട അവസാന തീയതി എന്നാണ്?,fee_payment_deadline
How do I pay my fees on the online portal?,pay_fees_online
link to pay college fees,pay_fees_online
ഓൺലൈനായി ഫീസ് എങ്ങനെ അടക്കാം?,pay_fees_online
What are the rules regarding the fee refund policy?,fee_refund_policy
can i get my fees back,fee_refund_policy
അടച്ച ഫീസ് തിരികെ കിട്ടുമോ?,fee_refund_policy
Are installment options available for paying fees?,fee_installment_options
pay fees in parts,fee_installment_options
ഫീസ് തവണകളായി അടക്കാമോ?,fee_installment_options
What are the penalty charges for a late fee?,late_fee_penalty
fine for late fee payment,late_fee_penalty
ഫീസ് വൈകിയാൽ ഫൈൻ അടക്കണമോ?,late_fee_penalty
How do I download the invoice for my fee receipt?,download_fee_receipt
where is my fee receipt,download_fee_receipt
ഫീസ് രസീത് എങ്ങനെ ഡൗൺലോഡ് ചെയ്യാം?,download_fee_receipt
What are the eligibility criteria for getting a scholarship?,scholarship_eligibility
who gets scholarship,scholarship_eligibility
സ്കോളർഷിപ്പിന് അപേക്ഷിക്കാൻ എന്താണ് യോഗ്യത?,scholarship_eligibility
Are parents allowed access to make fee payments?,parents_fee_payment
can my parents pay the fees,parents_fee_payment
രക്ഷിതാക്കൾക്ക് ഫീസ് അടക്കാൻ കഴിയുമോ?,parents_fee_payment
Is the hostel fee included in the overall course fee?,hostel_fee_included
is hostel fee in tuition fee,hostel_fee_included
ട്യൂഷൻ ഫീസിൽ ഹോസ്റ്റൽ ഫീസ് ഉൾപ്പെട്ടിട്ടുണ്ടോ?,hostel_fee_included
How can I apply to request a fee concession?,apply_fee_concession
how to get fee discount,apply_fee_concession
ഫീസ് ഇളവ് ലഭിക്കാൻ എന്ത് ചെയ്യണം?,apply_fee_concession
What are the available hours to access the library facilities?,library_access_hours
library timings,library_access_hours
ലൈബ്രറി സമയം എപ്പോഴാണ്?,library_access_hours
How do I use the login to access campus wifi?,campus_wifi_login
whats the wifi password,campus_wifi_login
ക്യാമ്പസ് വൈഫൈ എങ്ങനെ ഉപയോഗിക്കാം?,campus_wifi_login
What support services are available for student counseling?,student_counseling_services
is there a counselor on campus,student_counseling_services
കോളേജിൽ കൗൺസിലിംഗ് സൗകര്യമുണ്ടോ?,student_counseling_services
Are there medical facilities available on the campus?,medical_facilities_campus
what if i fall sick on campus,medical_facilities_campus
ക്യാമ്പസിൽ ഡോക്ടർ ഉണ്ടോ?,medical_facilities_campus
What are the route details for the transport facility?,transport_facility_routes
college bus routes,transport_facility_routes
കോളേജ് ബസ് ഏതൊക്കെ റൂട്ടിലാണ് പോകുന്നത്?,transport_facility_routes
How can I access the booking for lab equipment?,lab_equipment_booking
how to book lab tools,lab_equipment_booking
ലാബിലെ ഉപകരണങ്ങൾ എങ്ങനെ ബുക്ക് ചെയ്യാം?,lab_equipment_booking
What are the accommodation details for the hostel facility?,hostel_facility_details
rooms in hostel,hostel_facility_details
ഹോസ്റ്റലിലെ സൗകര്യങ്ങൾ എന്തൊക്കെയാണ്?,hostel_facility_details
Are sports facilities available for the students?,sports_facilities_students
do we have a gym,sports_facilities_students
കായിക വിനോദങ്ങൾക്കുള്ള സൗകര്യങ്ങൾ എന്തൊക്കെയാണ്?,sports_facilities_students
What training programs are provided for placement support?,placement_support_training
do u give placement training,placement_support_training
പ്ലേസ്മെന്റ് ട്രെയിനിങ് നൽകുമോ?,placement_support_training
How do I report an issue regarding facility maintenance?,report_maintenance_issue
AC is not working in class,report_maintenance_issue
ക്ലാസ്സിൽ എന്തെങ്കിലും കേടുപാടുകൾ ഉണ്ടെങ്കിൽ ആരോട് പറയണം?,report_maintenance_issue
What is the schedule for the hostel mess food menu?,hostel_mess_menu
food menu in hostel,hostel_mess_menu
ഹോസ്റ്റലിലെ ഭക്ഷണ മെനു എന്താണ്?,hostel_mess_menu
What are the timings for breakfast,lunch and dinner in the hostel?
time for lunch in mess,hostel_meal_timings
ഭക്ഷണം കഴിക്കാനുള്ള സമയങ്ങൾ ഏതൊക്കെയാണ്?,hostel_meal_timings
Are vegetarian and non-vegetarian food options available in the hostel?,hostel_food_options
is veg food available,hostel_food_options
വെജ് ഭക്ഷണം ലഭ്യമാണോ?,hostel_food_options
What is the quality standard for the hostel mess food?,hostel_food_quality
is the mess food good,hostel_food_quality
മെസ്സിലെ ഭക്ഷണം നല്ലതാണോ?,hostel_food_quality
Are there special menu days available in the hostel mess?,hostel_special_menu
any special food on festivals,hostel_special_menu
വിശേഷ ദിവസങ്ങളിൽ സ്പെഷ്യൽ ഭക്ഷണം ഉണ്ടോ?,hostel_special_menu
What are the charges for the hostel mess fee?,hostel_mess_fee
how much for mess bill,hostel_mess_fee
മെസ്സ് ഫീസ് എത്രയാണ്?,hostel_mess_fee
What are the structure details for the hostel accommodation fee?,hostel_accommodation_fee
hostel rent,hostel_accommodation_fee
ഹോസ്റ്റൽ ഫീസ് എത്രയാണ്?,hostel_accommodation_fee
What is the last date to make a hostel fee payment?,hostel_fee_deadline
last date for hostel fees,hostel_fee_deadline
ഹോസ്റ്റൽ ഫീസ് അടക്കേണ്ട അവസാന തീയതി എന്നാണ്?,hostel_fee_deadline
How can I pay my hostel fees via the online portal?,pay_hostel_fees_online
pay hostel bill online,pay_hostel_fees_online
ഓൺലൈനായി ഹോസ്റ്റൽ ഫീസ് അടക്കാമോ?,pay_hostel_fees_online
What are the rules regarding the hostel fee refund policy?,hostel_fee_refund
hostel fee refund rules,hostel_fee_refund
ഹോസ്റ്റൽ ഫീസ് തിരികെ കിട്ടുമോ?,hostel_fee_refund
Is there a wifi internet facility available in the hostel?,hostel_wifi_facility
is there wifi in hostel room,hostel_wifi_facility
ഹോസ്റ്റലിൽ വൈഫൈ ഉണ്ടോ?,hostel_wifi_facility
Where is the laundry facility located in the hostel?,hostel_laundry_location
where to wash clothes in hostel,hostel_laundry_location
ഹോസ്റ്റലിൽ വസ്ത്രങ്ങൾ അലക്കാൻ സൗകര്യമുണ്ടോ?,hostel_laundry_location
Is there a study room facility available in the hostel?,hostel_study_room
reading room in hostel,hostel_study_room
ഹോസ്റ്റലിൽ പഠിക്കാൻ പ്രത്യേക മുറിയുണ്ടോ?,hostel_study_room
Is there a parking area available for students at the hostel?,hostel_parking_area
can i park my bike at hostel,hostel_parking_area
ഹോസ്റ്റലിൽ വണ്ടി പാർക്ക് ചെയ്യാൻ സൗകര്യമുണ്ടോ?,hostel_parking_area
